x(ps)	counts	counts(1/s)
31.599999999999998	4481	44810
31.7	4360	43600
31.8	4495	44950
31.9	4402	44020
32	4576	45760
32.1	4516	45160
32.2	4570	45700
32.3	4532	45320
32.4	4475	44750
32.5	4536	45360
32.6	4530	45300
32.7	4539	45390
32.8	4526	45260
32.9	4434	44340
33	3759	37590
33.1	212	2120
33.2	231	2310
33.3	213	2130
33.4	233	2330
33.5	240	2400
33.6	235	2350
33.7	221	2210
33.8	277	2770
33.9	227	2270
34	251	2510
34.1	253	2530
34.2	280	2800
34.3	229	2290
34.4	253	2530
34.5	265	2650
34.6	241	2410
34.7	249	2490
34.8	272	2720
34.9	243	2430
35	998	9980
35.1	4514	45140
35.2	4542	45420
35.3	4458	44580
35.4	4559	45590
35.5	4404	44040
35.6	4441	44410
35.699999999999996	4495	44950
35.8	4421	44210
35.9	4449	44490
36	4475	44750
36.1	4454	44540
36.199999999999996	4521	45210
36.3	4537	45370
36.4	4371	43710
36.5	4542	45420
36.6	4379	43790
36.699999999999996	4444	44440
36.8	4589	45890
36.9	4573	45730
37	3780	37800
37.1	225	2250
37.199999999999996	246	2460
37.3	236	2360
37.4	261	2610
37.5	228	2280
37.6	207	2070
37.699999999999996	218	2180
37.8	231	2310
37.9	223	2230
38	247	2470
38.1	276	2760
38.199999999999996	282	2820
38.3	263	2630
38.4	243	2430
38.5	254	2540
38.6	250	2500
38.699999999999996	243	2430
38.8	246	2460
38.9	265	2650
39	972	9720
39.1	4465	44650
39.199999999999996	4484	44840
39.3	4491	44910
39.4	4545	45450
39.5	4321	43210
39.6	4457	44570
39.699999999999996	4381	43810
39.8	4311	43110
39.9	4473	44730
40	4516	45160
40.1	4564	45640
40.199999999999996	4503	45030
40.3	4571	45710
40.4	4603	46030
40.5	4583	45830
40.6	4489	44890
40.699999999999996	4632	46320
40.8	4442	44420
40.9	4544	45440
41	3826	38260
41.1	215	2150
41.199999999999996	216	2160
41.3	198	1980
41.4	210	2100
41.5	218	2180
41.6	238	2380
41.699999999999996	229	2290
41.8	225	2250
41.9	228	2280
42	231	2310
42.1	264	2640
42.199999999999996	272	2720
42.3	268	2680
42.4	207	2070
42.5	257	2570
42.6	241	2410
42.699999999999996	250	2500
42.8	246	2460
42.9	260	2600
43	920	9200
43.1	4471	44710
43.199999999999996	4318	43180
43.3	4532	45320
43.4	4564	45640
43.5	4476	44760
43.6	4451	44510
43.699999999999996	4487	44870
43.8	4462	44620
43.9	4465	44650
44	4609	46090
44.1	4515	45150
44.199999999999996	4446	44460
44.3	4607	46070
44.4	4418	44180
44.5	4487	44870
44.6	4428	44280
44.699999999999996	4507	45070
44.8	4597	45970
44.9	4563	45630
45	3838	38380
45.1	247	2470
45.199999999999996	229	2290
45.3	210	2100
45.4	216	2160
45.5	217	2170
45.6	246	2460
45.699999999999996	244	2440
45.8	230	2300
45.9	238	2380
46	240	2400
46.1	270	2700
46.199999999999996	254	2540
46.3	246	2460
46.4	249	2490
46.5	235	2350
46.6	268	2680
46.699999999999996	257	2570
46.8	220	2200
46.9	260	2600
47	936	9360
47.1	4475	44750
47.199999999999996	4461	44610
47.3	4473	44730
47.4	4471	44710
47.5	4517	45170
47.6	4492	44920
47.699999999999996	4470	44700
47.8	4471	44710
47.9	4518	45180
48	4530	45300
48.1	4451	44510
48.199999999999996	4544	45440
48.3	4558	45580
48.4	4597	45970
48.5	4540	45400
48.6	4589	45890
48.699999999999996	4662	46620
48.8	4577	45770
48.9	4506	45060
49	3812	38120
49.1	217	2170
49.199999999999996	240	2400
49.3	218	2180
49.4	238	2380
49.5	223	2230
49.6	243	2430
49.699999999999996	248	2480
49.8	241	2410
49.9	237	2370
50	224	2240
50.1	254	2540
50.199999999999996	239	2390
50.3	286	2860
50.4	263	2630
50.5	286	2860
50.6	247	2470
50.699999999999996	259	2590
50.8	259	2590
50.9	247	2470
51	857	8570
51.1	4497	44970
51.199999999999996	4482	44820
51.3	4577	45770
51.4	4472	44720
51.5	4585	45850
51.6	4594	45940
51.699999999999996	4409	44090
51.8	4603	46030
51.9	4510	45100
52	4536	45360
52.1	4516	45160
52.199999999999996	4563	45630
52.3	4607	46070
52.4	4614	46140
52.5	4606	46060
52.6	4460	44600
52.699999999999996	4519	45190
52.8	4496	44960
52.9	4477	44770
53	3932	39320
53.1	237	2370
53.199999999999996	233	2330
53.3	230	2300
53.4	244	2440
53.5	225	2250
53.6	247	2470
53.699999999999996	210	2100
53.8	245	2450
53.9	242	2420
54	258	2580
54.1	258	2580
54.199999999999996	228	2280
54.3	235	2350
54.4	247	2470
54.5	254	2540
54.6	251	2510
54.699999999999996	273	2730
54.8	244	2440
54.9	237	2370
55	907	9070
55.1	4456	44560
55.199999999999996	4525	45250
55.3	4631	46310
55.4	4406	44060
55.5	4551	45510
55.6	4541	45410
55.699999999999996	4547	45470
55.8	4525	45250
55.9	4540	45400
56	4429	44290
56.1	4560	45600
56.199999999999996	4459	44590
56.3	4513	45130
56.4	4596	45960
56.5	4439	44390
56.6	4396	43960
56.699999999999996	4436	44360
56.8	4505	45050
56.9	4592	45920
57	3865	38650
57.1	246	2460
57.199999999999996	236	2360
57.3	225	2250
57.4	257	2570
57.5	227	2270
57.6	239	2390
57.699999999999996	216	2160
57.8	217	2170
57.9	218	2180
58	256	2560
58.1	236	2360
58.199999999999996	280	2800
58.3	248	2480
58.4	260	2600
58.5	252	2520
58.6	231	2310
58.699999999999996	237	2370
58.8	265	2650
58.9	231	2310
59	834	8340
59.1	4495	44950
59.199999999999996	4529	45290
59.3	4645	46450
59.4	4532	45320
59.5	4513	45130
59.6	4566	45660
59.699999999999996	4435	44350
59.8	4475	44750
59.9	4484	44840
60	4446	44460
60.1	4524	45240
60.199999999999996	4497	44970
60.3	4529	45290
60.4	4632	46320
60.5	4671	46710
60.6	4550	45500
60.699999999999996	4543	45430
60.8	4572	45720
60.9	4494	44940
61	3828	38280
61.1	220	2200
61.199999999999996	232	2320
61.3	247	2470
61.4	238	2380
61.5	219	2190
61.6	248	2480
61.699999999999996	231	2310
61.8	235	2350
61.9	247	2470
62	272	2720
62.1	272	2720
62.199999999999996	269	2690
62.3	262	2620
62.4	281	2810
62.5	243	2430
62.6	257	2570
62.699999999999996	254	2540
62.8	244	2440
62.9	254	2540
63	873	8730
63.1	4497	44970
63.199999999999996	4444	44440
63.3	4499	44990
63.4	4569	45690
63.5	4383	43830
63.6	4571	45710
63.699999999999996	4464	44640
63.8	4437	44370
63.9	4506	45060
64	4480	44800
64.1	4559	45590
64.2	4500	45000
64.3	4438	44380
64.4	4605	46050
64.5	4591	45910
64.6	4596	45960
64.7	4562	45620
64.8	4467	44670
64.9	4535	45350
65	3983	39830
65.1	231	2310
65.2	211	2110
65.3	238	2380
65.4	255	2550
65.5	256	2560
65.6	239	2390
65.7	258	2580
65.8	251	2510
65.9	247	2470
66	233	2330
66.1	254	2540
66.2	219	2190
66.3	216	2160
66.4	248	2480
66.5	235	2350
66.6	220	2200
66.7	245	2450
66.8	266	2660
66.9	240	2400
67	872	8720
67.1	4434	44340
67.2	4525	45250
67.3	4524	45240
67.4	4515	45150
67.5	4361	43610
67.6	4483	44830
67.7	4492	44920
67.8	4439	44390
67.9	4436	44360
68	4366	43660
68.1	4506	45060
68.2	4537	45370
68.3	4448	44480
68.4	4553	45530
68.5	4572	45720
68.6	4566	45660
68.7	4608	46080
68.8	4405	44050
68.9	4491	44910
69	3795	37950
69.1	200	2000
69.2	234	2340
69.3	236	2360
69.4	266	2660
69.5	249	2490
69.6	243	2430
69.7	203	2030
69.8	237	2370
69.9	253	2530
70	245	2450
70.1	252	2520
70.2	247	2470
70.3	228	2280
70.4	267	2670
70.5	250	2500
70.6	236	2360
70.7	245	2450
70.8	244	2440
70.89999999999999	235	2350
71	813	8130
71.1	4525	45250
71.2	4511	45110
71.3	4413	44130
71.39999999999999	4622	46220
71.5	4355	43550
71.6	4333	43330
71.7	4539	45390
71.8	4407	44070
71.89999999999999	4414	44140
72	4497	44970
72.1	4600	46000
72.2	4470	44700
72.3	4495	44950
72.39999999999999	4571	45710
72.5	4558	45580
72.6	4445	44450
72.7	4476	44760
72.8	4546	45460
72.89999999999999	4417	44170
73	3946	39460
73.1	213	2130
73.2	243	2430
73.3	226	2260
73.39999999999999	219	2190
73.5	223	2230
73.6	223	2230
73.7	238	2380
73.8	244	2440
73.89999999999999	256	2560
74	251	2510
74.1	243	2430
74.2	222	2220
74.3	229	2290
74.39999999999999	231	2310
74.5	260	2600
74.6	248	2480
74.7	243	2430
74.8	253	2530
74.89999999999999	248	2480
75	851	8510
75.1	4293	42930
75.2	4453	44530
75.3	4471	44710
75.39999999999999	4470	44700
75.5	4430	44300
75.6	4423	44230
75.7	4335	43350
75.8	4386	43860
75.89999999999999	4495	44950
76	4453	44530
76.1	4546	45460
76.2	4361	43610
76.3	4604	46040
76.39999999999999	4479	44790
76.5	4543	45430
76.6	4474	44740
76.7	4456	44560
76.8	4451	44510
76.89999999999999	4514	45140
77	3942	39420
77.1	223	2230
77.2	241	2410
77.3	239	2390
77.39999999999999	238	2380
77.5	228	2280
77.6	209	2090
77.7	251	2510
77.8	230	2300
77.89999999999999	248	2480
78	257	2570
78.1	249	2490
78.2	308	3080
78.3	261	2610
78.39999999999999	238	2380
78.5	274	2740
78.6	252	2520
78.7	268	2680
78.8	252	2520
78.89999999999999	286	2860
79	843	8430
