x(ps)	counts	counts(1/s)
30.099999999999998	38312	383120
30.2	27866	278660
30.3	2044	20440
30.4	2088	20880
30.5	2120	21200
30.599999999999998	2019	20190
30.7	2191	21910
30.8	1967	19670
30.9	2121	21210
31	2156	21560
31.099999999999998	2036	20360
31.2	2253	22530
31.3	2298	22980
31.4	2272	22720
31.5	2195	21950
31.599999999999998	2300	23000
31.7	2183	21830
31.8	2266	22660
31.9	2207	22070
32	2335	23350
32.1	2266	22660
32.2	12971	129710
32.3	38012	380120
32.4	38470	384700
32.5	38117	381170
32.6	37865	378650
32.7	38154	381540
32.8	38091	380910
32.9	38245	382450
33	38163	381630
33.1	38107	381070
33.2	38319	383190
33.3	38284	382840
33.4	37836	378360
33.5	38057	380570
33.6	38259	382590
33.7	38235	382350
33.8	38250	382500
33.9	38000	380000
34	38359	383590
34.1	38013	380130
34.2	27590	275900
34.3	2133	21330
34.4	2108	21080
34.5	2050	20500
34.6	2112	21120
34.7	2002	20020
34.8	2116	21160
34.9	2050	20500
35	2045	20450
35.1	2079	20790
35.2	2247	22470
35.3	2246	22460
35.4	2231	22310
35.5	2218	22180
35.6	2200	22000
35.699999999999996	2162	21620
35.8	2185	21850
35.9	2221	22210
36	2259	22590
36.1	2144	21440
36.199999999999996	12692	126920
36.3	37703	377030
36.4	37922	379220
36.5	37969	379690
36.6	38238	382380
36.699999999999996	38201	382010
36.8	37814	378140
36.9	38368	383680
37	38243	382430
37.1	37980	379800
37.199999999999996	38025	380250
37.3	38358	383580
37.4	37962	379620
37.5	37956	379560
37.6	38032	380320
37.699999999999996	38246	382460
37.8	37865	378650
37.9	38062	380620
38	38270	382700
38.1	37963	379630
38.199999999999996	27688	276880
38.3	2029	20290
38.4	2031	20310
38.5	1998	19980
38.6	2048	20480
38.699999999999996	2028	20280
38.8	2006	20060
38.9	2131	21310
39	2069	20690
39.1	2003	20030
39.199999999999996	2133	21330
39.3	2318	23180
39.4	2245	22450
39.5	2265	22650
39.6	2273	22730
39.699999999999996	2259	22590
39.8	2270	22700
39.9	2224	22240
40	2241	22410
40.1	2249	22490
40.199999999999996	12690	126900
40.3	37895	378950
40.4	38177	381770
40.5	37995	379950
40.6	38163	381630
40.699999999999996	38005	380050
40.8	37991	379910
40.9	38054	380540
41	37955	379550
41.1	37931	379310
41.199999999999996	38025	380250
41.3	38139	381390
41.4	38213	382130
41.5	38246	382460
41.6	38245	382450
41.699999999999996	38149	381490
41.8	38142	381420
41.9	38259	382590
42	38247	382470
42.1	38274	382740
42.199999999999996	27746	277460
42.3	2056	20560
42.4	2026	20260
42.5	2012	20120
42.6	2041	20410
42.699999999999996	2067	20670
42.8	1959	19590
42.9	1994	19940
43	1978	19780
43.1	2046	20460
43.199999999999996	2196	21960
43.3	2162	21620
43.4	2248	22480
43.5	2185	21850
43.6	2274	22740
43.699999999999996	2183	21830
43.8	2332	23320
43.9	2185	21850
44	2262	22620
44.1	2202	22020
44.199999999999996	12538	125380
44.3	37942	379420
44.4	37862	378620
44.5	37809	378090
44.6	38007	380070
44.699999999999996	37771	377710
44.8	38190	381900
44.9	37607	376070
45	38179	381790
45.1	37470	374700
45.199999999999996	37912	379120
45.3	37805	378050
45.4	38075	380750
45.5	38087	380870
45.6	38319	383190
45.699999999999996	38124	381240
45.8	38137	381370
45.9	38182	381820
46	38285	382850
46.1	38019	380190
46.199999999999996	27848	278480
46.3	2056	20560
46.4	2017	20170
46.5	2041	20410
46.6	2130	21300
46.699999999999996	2026	20260
46.8	2179	21790
46.9	2098	20980
47	2001	20010
47.1	2041	20410
47.199999999999996	2183	21830
47.3	2307	23070
47.4	2250	22500
47.5	2272	22720
47.6	2222	22220
47.699999999999996	2214	22140
47.8	2201	22010
47.9	2248	22480
48	2215	22150
48.1	2236	22360
48.199999999999996	12423	124230
48.3	37983	379830
48.4	37637	376370
48.5	37593	375930
48.6	37473	374730
48.699999999999996	37512	375120
48.8	37896	378960
48.9	37640	376400
49	37614	376140
49.1	37356	373560
49.199999999999996	37822	378220
49.3	38005	380050
49.4	38098	380980
49.5	37760	377600
49.6	38407	384070
49.699999999999996	38007	380070
49.8	37761	377610
49.9	37951	379510
50	38065	380650
50.1	38037	380370
50.199999999999996	28041	280410
50.3	1974	19740
50.4	2044	20440
50.5	2044	20440
50.6	2002	20020
50.699999999999996	2024	20240
50.8	2044	20440
50.9	2054	20540
51	2069	20690
51.1	2080	20800
51.199999999999996	2201	22010
51.3	2269	22690
51.4	2235	22350
51.5	2176	21760
51.6	2192	21920
51.699999999999996	2220	22200
51.8	2255	22550
51.9	2177	21770
52	2299	22990
52.1	2225	22250
52.199999999999996	12425	124250
52.3	37796	377960
52.4	37920	379200
52.5	37822	378220
52.6	37836	378360
52.699999999999996	37916	379160
52.8	37847	378470
52.9	38109	381090
53	37794	377940
53.1	37761	377610
53.199999999999996	38296	382960
53.3	38226	382260
53.4	38257	382570
53.5	38268	382680
53.6	38357	383570
53.699999999999996	38287	382870
53.8	38178	381780
53.9	38268	382680
54	38452	384520
54.1	38112	381120
54.199999999999996	27899	278990
54.3	2126	21260
54.4	2075	20750
54.5	2119	21190
54.6	2035	20350
54.699999999999996	2091	20910
54.8	2063	20630
54.9	2066	20660
55	2021	20210
55.1	2076	20760
55.199999999999996	2177	21770
55.3	2267	22670
55.4	2219	22190
55.5	2302	23020
55.6	2219	22190
55.699999999999996	2168	21680
55.8	2252	22520
55.9	2256	22560
56	2192	21920
56.1	2257	22570
56.199999999999996	12202	122020
56.3	38591	385910
56.4	37785	377850
56.5	38010	380100
56.6	38501	385010
56.699999999999996	38266	382660
56.8	37932	379320
56.9	38406	384060
57	38418	384180
57.1	38064	380640
57.199999999999996	38007	380070
57.3	38539	385390
57.4	38244	382440
57.5	38220	382200
57.6	38323	383230
57.699999999999996	38664	386640
57.8	38763	387630
57.9	38760	387600
58	38598	385980
58.1	38339	383390
58.199999999999996	28450	284500
58.3	2019	20190
58.4	2088	20880
58.5	2098	20980
58.6	2108	21080
58.699999999999996	2119	21190
58.8	2058	20580
58.9	2103	21030
59	2141	21410
59.1	2025	20250
59.199999999999996	2243	22430
59.3	2296	22960
59.4	2191	21910
59.5	2258	22580
59.6	2197	21970
59.699999999999996	2177	21770
59.8	2277	22770
59.9	2181	21810
60	2288	22880
60.1	2332	23320
60.199999999999996	12233	122330
60.3	38223	382230
60.4	38089	380890
60.5	38405	384050
60.6	38590	385900
60.699999999999996	38092	380920
60.8	38218	382180
60.9	38485	384850
61	38060	380600
61.1	38421	384210
61.199999999999996	38336	383360
61.3	39007	390070
61.4	38652	386520
61.5	38658	386580
61.6	38414	384140
61.699999999999996	38709	387090
61.8	38630	386300
61.9	38911	389110
62	38535	385350
62.1	38427	384270
62.199999999999996	28520	285200
62.3	2239	22390
62.4	2013	20130
62.5	2069	20690
62.6	2027	20270
62.699999999999996	2100	21000
62.8	2052	20520
62.9	2088	20880
63	2152	21520
63.1	2052	20520
63.199999999999996	2272	22720
63.3	2335	23350
63.4	2241	22410
63.5	2300	23000
63.6	2238	22380
63.699999999999996	2198	21980
63.8	2224	22240
63.9	2307	23070
64	2297	22970
64.1	2266	22660
