x(ps)	counts	counts(1/s)
0	6972	69720
0.09999999999999999	6931	69310
0.19999999999999998	7142	71420
0.3	7002	70020
0.39999999999999997	6955	69550
0.5	4937	49370
0.6	340	3400
0.7	345	3450
0.7999999999999999	392	3920
0.9	356	3560
1	381	3810
1.1	356	3560
1.2	356	3560
1.3	376	3760
1.4	324	3240
1.5	414	4140
1.5999999999999999	410	4100
1.7	380	3800
1.8	427	4270
1.9	402	4020
2	360	3600
2.1	409	4090
2.2	402	4020
2.3	387	3870
2.4	389	3890
2.5	2464	24640
2.6	7015	70150
2.6999999999999997	6914	69140
2.8	6884	68840
2.9	7095	70950
3	6933	69330
3.1	7057	70570
3.1999999999999997	7029	70290
3.3	7055	70550
3.4	7015	70150
3.5	7074	70740
3.6	6979	69790
3.6999999999999997	7048	70480
3.8	7034	70340
3.9	7066	70660
4	7094	70940
4.1	7126	71260
4.2	7077	70770
4.3	7169	71690
4.4	7035	70350
4.5	5053	50530
4.6	351	3510
4.7	352	3520
4.8	376	3760
4.8999999999999995	333	3330
5	407	4070
5.1	316	3160
5.2	361	3610
5.3	359	3590
5.3999999999999995	375	3750
5.5	390	3900
5.6	446	4460
5.7	415	4150
5.8	385	3850
5.8999999999999995	367	3670
6	373	3730
6.1	388	3880
6.2	437	4370
6.3	397	3970
6.3999999999999995	372	3720
6.5	2320	23200
6.6	7045	70450
6.7	7192	71920
6.8	7145	71450
6.8999999999999995	7134	71340
7	7051	70510
7.1	7064	70640
7.2	7110	71100
7.3	7149	71490
7.3999999999999995	6990	69900
7.5	7058	70580
7.6	7026	70260
7.7	6995	69950
7.8	7047	70470
7.8999999999999995	6925	69250
8	7050	70500
8.1	6940	69400
8.2	7074	70740
8.3	7166	71660
8.4	7099	70990
8.5	5137	51370
8.6	352	3520
8.7	372	3720
8.8	360	3600
8.9	346	3460
9	330	3300
9.1	351	3510
9.2	377	3770
9.299999999999999	339	3390
9.4	354	3540
9.5	417	4170
9.6	398	3980
9.7	391	3910
9.799999999999999	386	3860
9.9	371	3710
10	360	3600
10.1	399	3990
10.2	376	3760
10.299999999999999	409	4090
10.4	389	3890
10.5	2351	23510
10.6	6915	69150
10.7	7082	70820
10.799999999999999	6885	68850
10.9	6955	69550
11	6986	69860
11.1	7042	70420
11.2	6928	69280
11.299999999999999	7047	70470
11.4	7012	70120
11.5	6952	69520
11.6	7090	70900
11.7	7055	70550
11.799999999999999	7087	70870
11.9	7153	71530
12	7112	71120
12.1	6975	69750
12.2	6934	69340
12.299999999999999	6902	69020
12.4	7004	70040
12.5	5023	50230
12.6	337	3370
12.7	329	3290
12.799999999999999	331	3310
12.9	329	3290
13	346	3460
13.1	356	3560
13.2	349	3490
13.299999999999999	328	3280
13.4	371	3710
13.5	370	3700
13.6	388	3880
13.7	359	3590
13.799999999999999	403	4030
13.9	385	3850
14	401	4010
14.1	398	3980
14.2	392	3920
14.299999999999999	382	3820
14.4	378	3780
14.5	2304	23040
14.6	6938	69380
14.7	6861	68610
14.799999999999999	6944	69440
14.9	6963	69630
15	6964	69640
15.1	6845	68450
15.2	6917	69170
15.299999999999999	6985	69850
15.4	7010	70100
15.5	7030	70300
15.6	7123	71230
15.7	7057	70570
15.799999999999999	7050	70500
15.9	6983	69830
16	7127	71270
16.1	6910	69100
16.2	6972	69720
16.3	6936	69360
16.4	7050	70500
16.5	5112	51120
16.6	356	3560
16.7	321	3210
16.8	336	3360
16.9	407	4070
17	378	3780
17.1	365	3650
17.2	352	3520
17.3	350	3500
17.4	358	3580
17.5	361	3610
17.6	376	3760
17.7	417	4170
17.8	417	4170
17.9	414	4140
18	414	4140
18.099999999999998	387	3870
18.2	391	3910
18.3	406	4060
18.4	344	3440
18.5	2299	22990
18.599999999999998	7041	70410
18.7	6939	69390
18.8	7000	70000
18.9	6975	69750
19	7019	70190
19.099999999999998	7094	70940
19.2	7100	71000
19.3	6963	69630
19.4	7114	71140
19.5	7040	70400
19.599999999999998	6923	69230
19.7	7026	70260
19.8	7104	71040
19.9	7030	70300
20	7176	71760
20.099999999999998	7103	71030
20.2	7041	70410
20.3	7181	71810
20.4	7144	71440
20.5	5192	51920
20.599999999999998	357	3570
20.7	337	3370
20.8	389	3890
20.9	360	3600
21	325	3250
21.099999999999998	346	3460
21.2	368	3680
21.3	376	3760
21.4	330	3300
21.5	384	3840
21.599999999999998	381	3810
21.7	399	3990
21.8	356	3560
21.9	379	3790
22	368	3680
22.099999999999998	398	3980
22.2	412	4120
22.3	400	4000
22.4	405	4050
22.5	2269	22690
22.599999999999998	7027	70270
