x(ps)	counts	counts(1/s)
0	153	1530
0.09999999999999999	127	1270
0.19999999999999998	150	1500
0.3	126	1260
0.39999999999999997	136	1360
0.5	124	1240
0.6	125	1250
0.7	138	1380
0.7999999999999999	137	1370
0.9	116	1160
1	295	2950
1.1	2182	21820
1.2	2178	21780
1.3	2159	21590
1.4	2178	21780
1.5	2196	21960
1.5999999999999999	2178	21780
1.7	2125	21250
1.8	2202	22020
1.9	2134	21340
2	2138	21380
2.1	2154	21540
2.2	2217	22170
2.3	2091	20910
2.4	2211	22110
2.5	2173	21730
2.6	2202	22020
2.6999999999999997	2155	21550
2.8	2211	22110
2.9	2122	21220
3	1914	19140
3.1	113	1130
3.1999999999999997	108	1080
3.3	124	1240
3.4	143	1430
3.5	123	1230
3.6	114	1140
3.6999999999999997	108	1080
3.8	123	1230
3.9	121	1210
4	119	1190
4.1	129	1290
4.2	131	1310
4.3	133	1330
4.4	136	1360
4.5	120	1200
4.6	132	1320
4.7	104	1040
4.8	114	1140
4.8999999999999995	128	1280
5	323	3230
5.1	2194	21940
5.2	2141	21410
5.3	2160	21600
5.3999999999999995	2105	21050
5.5	2134	21340
5.6	2099	20990
5.7	2120	21200
5.8	2095	20950
5.8999999999999995	2176	21760
6	2175	21750
6.1	2134	21340
6.2	2201	22010
6.3	2199	21990
6.3999999999999995	2238	22380
6.5	2283	22830
6.6	2174	21740
6.7	2166	21660
6.8	2314	23140
6.8999999999999995	2186	21860
7	2010	20100
7.1	115	1150
7.2	118	1180
7.3	123	1230
7.3999999999999995	119	1190
7.5	116	1160
7.6	146	1460
7.7	89	890
7.8	116	1160
7.8999999999999995	120	1200
8	123	1230
8.1	125	1250
8.2	121	1210
8.3	130	1300
8.4	118	1180
8.5	123	1230
8.6	134	1340
8.7	122	1220
8.8	125	1250
8.9	129	1290
9	304	3040
9.1	2158	21580
9.2	2070	20700
9.299999999999999	2189	21890
9.4	2135	21350
9.5	2160	21600
9.6	2180	21800
9.7	2150	21500
9.799999999999999	2097	20970
9.9	2254	22540
10	2208	22080
10.1	2117	21170
10.2	2203	22030
10.299999999999999	2215	22150
10.4	2132	21320
10.5	2244	22440
10.6	2205	22050
10.7	2220	22200
10.799999999999999	2119	21190
10.9	2211	22110
11	2070	20700
11.1	127	1270
11.2	102	1020
11.299999999999999	124	1240
11.4	141	1410
11.5	122	1220
11.6	117	1170
11.7	122	1220
11.799999999999999	104	1040
11.9	103	1030
12	121	1210
12.1	128	1280
12.2	130	1300
12.299999999999999	138	1380
12.4	130	1300
12.5	124	1240
12.6	127	1270
12.7	113	1130
12.799999999999999	134	1340
12.9	111	1110
13	285	2850
13.1	2140	21400
13.2	2174	21740
13.299999999999999	2176	21760
13.4	2120	21200
13.5	2129	21290
13.6	2180	21800
13.7	2197	21970
13.799999999999999	2145	21450
13.9	2188	21880
14	2115	21150
14.1	2208	22080
14.2	2172	21720
14.299999999999999	2148	21480
14.4	2166	21660
14.5	2162	21620
14.6	2199	21990
14.7	2177	21770
14.799999999999999	2069	20690
14.9	2228	22280
15	1995	19950
15.1	105	1050
15.2	106	1060
15.299999999999999	126	1260
15.4	128	1280
15.5	97	970
15.6	119	1190
15.7	129	1290
15.799999999999999	132	1320
15.9	135	1350
16	120	1200
16.1	128	1280
16.2	129	1290
16.3	123	1230
16.4	145	1450
16.5	138	1380
16.6	151	1510
16.7	136	1360
16.8	117	1170
