x(ps)	counts	counts(1/s)
0	5747	57470
0.09999999999999999	480	4800
0.19999999999999998	468	4680
0.3	482	4820
0.39999999999999997	487	4870
0.5	468	4680
0.6	433	4330
0.7	416	4160
0.7999999999999999	444	4440
0.9	471	4710
1	525	5250
1.1	495	4950
1.2	516	5160
1.3	514	5140
1.4	503	5030
1.5	465	4650
1.5999999999999999	500	5000
1.7	508	5080
1.8	482	4820
1.9	494	4940
2	4010	40100
2.1	9341	93410
2.2	9171	91710
2.3	9210	92100
2.4	9242	92420
2.5	9201	92010
2.6	9358	93580
2.6999999999999997	9117	91170
2.8	9122	91220
2.9	9187	91870
3	9190	91900
3.1	9305	93050
3.1999999999999997	9309	93090
3.3	9489	94890
3.4	9341	93410
3.5	9365	93650
3.6	9231	92310
3.6999999999999997	9247	92470
3.8	9329	93290
3.9	9428	94280
4	5761	57610
4.1	510	5100
4.2	481	4810
4.3	483	4830
4.4	483	4830
4.5	422	4220
4.6	484	4840
4.7	460	4600
4.8	468	4680
4.8999999999999995	476	4760
5	488	4880
5.1	494	4940
5.2	541	5410
5.3	518	5180
5.3999999999999995	503	5030
5.5	467	4670
5.6	512	5120
5.7	519	5190
5.8	494	4940
5.8999999999999995	539	5390
6	3999	39990
6.1	9292	92920
6.2	9375	93750
6.3	9183	91830
6.3999999999999995	9259	92590
6.5	9178	91780
6.6	9311	93110
6.7	9299	92990
6.8	9121	91210
6.8999999999999995	9334	93340
7	9209	92090
7.1	9471	94710
7.2	9230	92300
7.3	9524	95240
7.3999999999999995	9312	93120
7.5	9392	93920
7.6	9244	92440
7.7	9261	92610
7.8	9254	92540
7.8999999999999995	9349	93490
8	5767	57670
8.1	485	4850
8.2	430	4300
8.3	429	4290
8.4	462	4620
8.5	474	4740
8.6	451	4510
8.7	447	4470
8.8	453	4530
8.9	463	4630
9	525	5250
9.1	497	4970
9.2	524	5240
9.299999999999999	519	5190
9.4	513	5130
9.5	520	5200
9.6	550	5500
9.7	511	5110
9.799999999999999	481	4810
9.9	476	4760
10	3993	39930
10.1	9055	90550
10.2	9314	93140
10.299999999999999	9282	92820
10.4	9247	92470
10.5	9471	94710
10.6	9278	92780
10.7	9433	94330
10.799999999999999	9231	92310
10.9	9309	93090
11	9258	92580
11.1	9397	93970
11.2	9286	92860
11.299999999999999	9232	92320
11.4	9219	92190
11.5	9191	91910
11.6	9191	91910
11.7	9192	91920
11.799999999999999	9192	91920
11.9	9379	93790
12	5823	58230
12.1	438	4380
12.2	455	4550
12.299999999999999	487	4870
12.4	410	4100
12.5	470	4700
12.6	432	4320
12.7	477	4770
12.799999999999999	497	4970
12.9	461	4610
13	483	4830
13.1	524	5240
13.2	480	4800
13.299999999999999	511	5110
13.4	520	5200
13.5	535	5350
13.6	498	4980
13.7	527	5270
13.799999999999999	474	4740
13.9	478	4780
