2	1	1	1
2	1	1	1
1	1	1	0
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
1	1	2	1
4	1	1	1
2	2	1	1
4	1	1	1
4	1	1	1
4	1	1	1
2	2	1	1
2	2	1	1
2	2	1	1
2	2	1	1
1	1	2	1
1	1	2	1
2	2	4	2
2	2	1	1
2	2	1	1
2	2	1	1
2	2	1	1
2	2	1	1
2	2	1	1
2	2	1	1
2	2	4	2
2	2	4	2
2	2	4	2
2	2	1	1
2	2	1	1
6	2	2	3
6	2	2	3
6	2	6	3
6	2	12	4
12	2	12	6
9	4	9	6
9	4	9	6
15	2	18	7
18	4	15	9
15	6	6	8
18	6	12	10
15	9	9	10
18	6	12	10
18	9	4	11
24	4	12	10
21	6	12	11
15	9	9	10
18	9	9	11
18	9	9	11
21	9	15	13
24	9	15	14
27	4	18	12
27	4	18	12
21	6	18	11
21	9	21	13
21	9	27	14
24	9	15	14
24	9	15	14
27	6	15	13
24	9	21	14
24	12	18	16
21	15	15	16
24	15	15	17
27	12	24	17
27	12	24	17
27	12	24	17
30	15	21	20
24	18	24	20
24	18	30	21
27	21	32	24
27	21	27	23
30	21	21	23
32	21	27	24
35	21	32	26
38	24	30	28
35	24	35	28
32	27	32	29
38	27	38	31
45	24	38	31
40	30	35	33
35	30	35	32
40	30	35	33
43	30	35	34
43	30	40	35
43	30	45	35
45	32	52	38
50	32	52	39
45	32	52	38
45	32	52	38
45	32	52	38
50	30	43	37
50	27	45	35
50	30	43	37
48	35	40	39
48	35	40	39
48	35	40	39
52	32	45	39
52	35	50	41
52	35	50	41
52	35	50	41
55	38	52	44
52	40	55	45
52	43	52	46
52	40	59	45
57	40	55	46
57	40	55	46
57	40	59	47
57	45	59	50
64	43	59	51
62	50	59	54
66	50	64	56
68	52	66	58
71	50	66	58
71	50	71	58
73	52	68	60
73	57	71	63
73	57	75	63
71	59	77	64
75	59	77	65
77	62	75	67
79	59	75	66
77	62	79	68
77	62	79	68
81	62	77	69
87	62	81	71
89	62	89	73
85	62	85	71
79	64	81	70
75	64	81	69
83	64	83	71
93	62	83	73
93	62	83	73
91	66	81	75
91	66	85	75
91	66	89	76
93	62	87	74
95	66	93	77
95	66	98	78
95	66	98	78
96	68	98	79
98	71	100	82
98	73	102	83
96	75	100	84
100	75	100	85
107	75	104	87
109	73	112	88
107	83	114	93
111	85	117	96
117	87	112	98
115	89	107	98
114	93	112	101
117	95	120	104
122	91	123	103
123	95	129	107
126	95	129	108
123	100	129	110
126	98	126	109
126	98	126	109
