x(ps)	counts	counts(1/s)
0	389	3890
0.09999999999999999	359	3590
0.19999999999999998	381	3810
0.3	352	3520
0.39999999999999997	364	3640
0.5	383	3830
0.6	372	3720
0.7	377	3770
0.7999999999999999	361	3610
0.9	362	3620
1	354	3540
1.1	364	3640
1.2	370	3700
1.3	335	3350
1.4	377	3770
1.5	350	3500
1.5999999999999999	360	3600
1.7	389	3890
1.8	368	3680
1.9	383	3830
2	352	3520
2.1	351	3510
2.2	371	3710
2.3	370	3700
2.4	359	3590
2.5	356	3560
2.6	361	3610
2.6999999999999997	343	3430
2.8	378	3780
2.9	362	3620
3	353	3530
3.1	371	3710
3.1999999999999997	372	3720
3.3	356	3560
3.4	354	3540
3.5	393	3930
3.6	355	3550
3.6999999999999997	373	3730
3.8	356	3560
3.9	373	3730
4	387	3870
4.1	342	3420
4.2	371	3710
4.3	375	3750
4.4	354	3540
4.5	370	3700
4.6	367	3670
4.7	381	3810
4.8	351	3510
4.8999999999999995	363	3630
5	355	3550
5.1	361	3610
5.2	352	3520
5.3	396	3960
5.3999999999999995	335	3350
5.5	374	3740
5.6	393	3930
5.7	367	3670
5.8	337	3370
5.8999999999999995	357	3570
6	372	3720
6.1	333	3330
6.2	346	3460
6.3	393	3930
6.3999999999999995	389	3890
6.5	380	3800
6.6	329	3290
6.7	380	3800
6.8	362	3620
6.8999999999999995	362	3620
7	335	3350
7.1	365	3650
7.2	334	3340
7.3	322	3220
7.3999999999999995	358	3580
7.5	359	3590
7.6	361	3610
7.7	343	3430
7.8	368	3680
7.8999999999999995	394	3940
8	363	3630
8.1	386	3860
8.2	360	3600
8.3	341	3410
8.4	378	3780
8.5	368	3680
8.6	381	3810
8.7	347	3470
8.8	379	3790
8.9	373	3730
9	372	3720
9.1	342	3420
9.2	359	3590
9.299999999999999	375	3750
9.4	334	3340
9.5	378	3780
9.6	372	3720
9.7	334	3340
9.799999999999999	349	3490
9.9	391	3910
