x(ps)	counts	counts(1/s)
0	12589	125890
0.09999999999999999	12432	124320
0.19999999999999998	12303	123030
0.3	12374	123740
0.39999999999999997	12401	124010
0.5	12612	126120
0.6	12398	123980
0.7	11768	117680
0.7999999999999999	1074	10740
0.9	1135	11350
1	1172	11720
1.1	1110	11100
1.2	1185	11850
1.3	1198	11980
1.4	1071	10710
1.5	1151	11510
1.5999999999999999	1138	11380
1.7	1168	11680
1.8	1384	13840
1.9	1358	13580
2	1320	13200
2.1	1315	13150
2.2	1363	13630
2.3	1383	13830
2.4	1314	13140
2.5	1406	14060
2.6	1390	13900
2.6999999999999997	2093	20930
2.8	12870	128700
2.9	12924	129240
3	12753	127530
3.1	12940	129400
3.1999999999999997	12807	128070
3.3	13118	131180
3.4	13012	130120
3.5	13083	130830
3.6	13200	132000
3.6999999999999997	13116	131160
3.8	12486	124860
3.9	12622	126220
4	12490	124900
4.1	12420	124200
4.2	12414	124140
4.3	12409	124090
4.4	12361	123610
4.5	12342	123420
4.6	12280	122800
4.7	11809	118090
4.8	1145	11450
4.8999999999999995	1103	11030
5	1146	11460
5.1	1120	11200
5.2	1128	11280
5.3	1112	11120
5.3999999999999995	1109	11090
5.5	1179	11790
5.6	1102	11020
5.7	1136	11360
5.8	1386	13860
5.8999999999999995	1377	13770
6	1371	13710
6.1	1384	13840
6.2	1353	13530
6.3	1379	13790
6.3999999999999995	1277	12770
6.5	1405	14050
6.6	1346	13460
6.7	2098	20980
6.8	13140	131400
6.8999999999999995	12731	127310
7	13081	130810
7.1	12954	129540
7.2	12996	129960
7.3	13006	130060
7.3999999999999995	12752	127520
7.5	13054	130540
7.6	12677	126770
7.7	12849	128490
7.8	12538	125380
7.8999999999999995	12390	123900
8	12446	124460
8.1	12494	124940
8.2	12214	122140
8.3	12587	125870
8.4	12367	123670
8.5	12243	122430
8.6	12390	123900
8.7	11780	117800
8.8	1125	11250
8.9	1116	11160
9	1064	10640
9.1	1136	11360
9.2	1077	10770
9.299999999999999	1141	11410
9.4	1139	11390
9.5	1111	11110
9.6	1118	11180
9.7	1193	11930
9.799999999999999	1340	13400
9.9	1310	13100
