x(ps)	counts	counts(1/s)
0	431	4310
0.09999999999999999	453	4530
0.19999999999999998	435	4350
0.3	438	4380
0.39999999999999997	458	4580
0.5	424	4240
0.6	431	4310
0.7	398	3980
0.7999999999999999	422	4220
0.9	434	4340
1	422	4220
1.1	444	4440
1.2	477	4770
1.3	425	4250
1.4	418	4180
1.5	434	4340
1.5999999999999999	477	4770
1.7	434	4340
1.8	415	4150
1.9	444	4440
2	432	4320
2.1	418	4180
2.2	429	4290
2.3	422	4220
2.4	430	4300
2.5	479	4790
2.6	413	4130
2.6999999999999997	404	4040
2.8	437	4370
2.9	455	4550
3	460	4600
3.1	417	4170
3.1999999999999997	415	4150
3.3	466	4660
3.4	427	4270
3.5	444	4440
3.6	406	4060
3.6999999999999997	454	4540
3.8	414	4140
3.9	454	4540
4	420	4200
4.1	464	4640
4.2	416	4160
4.3	419	4190
4.4	455	4550
4.5	432	4320
4.6	434	4340
4.7	408	4080
4.8	458	4580
4.8999999999999995	426	4260
5	462	4620
5.1	448	4480
5.2	382	3820
5.3	437	4370
5.3999999999999995	462	4620
5.5	438	4380
5.6	423	4230
5.7	429	4290
5.8	424	4240
5.8999999999999995	416	4160
6	405	4050
6.1	457	4570
6.2	449	4490
6.3	430	4300
6.3999999999999995	449	4490
6.5	456	4560
6.6	440	4400
6.7	408	4080
6.8	462	4620
6.8999999999999995	415	4150
7	432	4320
7.1	465	4650
7.2	406	4060
7.3	417	4170
7.3999999999999995	427	4270
7.5	422	4220
7.6	412	4120
7.7	432	4320
7.8	451	4510
7.8999999999999995	459	4590
8	411	4110
8.1	405	4050
8.2	412	4120
8.3	448	4480
8.4	448	4480
8.5	423	4230
8.6	462	4620
8.7	425	4250
8.8	481	4810
8.9	461	4610
9	424	4240
9.1	474	4740
9.2	445	4450
9.299999999999999	476	4760
9.4	451	4510
9.5	424	4240
9.6	434	4340
9.7	443	4430
9.799999999999999	473	4730
9.9	412	4120
